array name	Sample name	Batch
HSB127.CBC	HSB127.CBC	1
HSB127.DFC	HSB127.DFC	1
HSB127.HIP	HSB127.HIP	1
HSB127.IPC	HSB127.IPC	1
HSB127.ITC	HSB127.ITC	1
HSB127.M1C	HSB127.M1C	1
HSB127.MD	HSB127.MD	1
HSB127.MFC	HSB127.MFC	1
HSB127.OFC	HSB127.OFC	1
HSB127.S1C	HSB127.S1C	1
HSB127.STC	HSB127.STC	1
HSB127.STR	HSB127.STR	1
HSB127.V1C	HSB127.V1C	1
HSB127.VFC	HSB127.VFC	1
HSB130.A1C	HSB130.A1C	1
HSB130.AMY	HSB130.AMY	1
HSB130.CBC	HSB130.CBC	1
HSB130.DFC	HSB130.DFC	1
HSB130.HIP	HSB130.HIP	1
HSB130.IPC	HSB130.IPC	1
HSB130.ITC	HSB130.ITC	1
HSB130.M1C	HSB130.M1C	1
HSB130.MD	HSB130.MD	1
HSB130.MFC	HSB130.MFC	1
HSB130.OFC	HSB130.OFC	1
HSB130.S1C	HSB130.S1C	1
HSB130.STC	HSB130.STC	1
HSB130.STR	HSB130.STR	1
HSB130.V1C	HSB130.V1C	1
HSB130.VFC	HSB130.VFC	1
HSB132.AMY	HSB132.AMY	2
HSB132.CBC	HSB132.CBC	2
HSB132.HIP	HSB132.HIP	2
HSB132.ITC	HSB132.ITC	2
HSB132.MD	HSB132.MD	2
HSB132.MFC	HSB132.MFC	2
HSB132.STC	HSB132.STC	2
HSB132.STR	HSB132.STR	2
HSB132.V1C	HSB132.V1C	2
HSB135.A1C	HSB135.A1C	2
HSB135.AMY	HSB135.AMY	2
HSB135.CBC	HSB135.CBC	2
HSB135.DFC	HSB135.DFC	2
HSB135.HIP	HSB135.HIP	2
HSB135.IPC	HSB135.IPC	2
HSB135.ITC	HSB135.ITC	2
HSB135.M1C	HSB135.M1C	2
HSB135.MD	HSB135.MD	2
HSB135.OFC	HSB135.OFC	2
HSB135.S1C	HSB135.S1C	2
HSB135.STC	HSB135.STC	2
HSB135.STR	HSB135.STR	2
HSB135.V1C	HSB135.V1C	2
HSB135.VFC	HSB135.VFC	2
HSB136.A1C	HSB136.A1C	2
HSB136.AMY	HSB136.AMY	2
HSB136.CBC	HSB136.CBC	2
HSB136.HIP	HSB136.HIP	2
HSB136.IPC	HSB136.IPC	2
HSB136.ITC	HSB136.ITC	2
HSB136.M1C	HSB136.M1C	2
HSB136.MD	HSB136.MD	2
HSB136.MFC	HSB136.MFC	2
HSB136.OFC	HSB136.OFC	2
HSB136.S1C	HSB136.S1C	2
HSB136.STC	HSB136.STC	2
HSB136.STR	HSB136.STR	2
HSB136.VFC	HSB136.VFC	2
HSB139.A1C	HSB139.A1C	1
HSB139.AMY	HSB139.AMY	1
HSB139.CBC	HSB139.CBC	1
HSB139.DFC	HSB139.DFC	1
HSB139.HIP	HSB139.HIP	1
HSB139.IPC	HSB139.IPC	1
HSB139.ITC	HSB139.ITC	1
HSB139.M1C	HSB139.M1C	1
HSB139.MD	HSB139.MD	1
HSB139.MFC	HSB139.MFC	1
HSB139.OFC	HSB139.OFC	1
HSB139.S1C	HSB139.S1C	1
HSB139.STC	HSB139.STC	1
HSB139.STR	HSB139.STR	1
HSB139.V1C	HSB139.V1C	1
HSB139.VFC	HSB139.VFC	1
HSB141.A1C	HSB141.A1C	1
HSB141.AMY	HSB141.AMY	1
HSB141.CBC	HSB141.CBC	1
HSB141.DFC	HSB141.DFC	1
HSB141.HIP	HSB141.HIP	1
HSB141.IPC	HSB141.IPC	1
HSB141.ITC	HSB141.ITC	1
HSB141.M1C	HSB141.M1C	1
HSB141.MD	HSB141.MD	1
HSB141.MFC	HSB141.MFC	1
HSB141.OFC	HSB141.OFC	1
HSB141.S1C	HSB141.S1C	1
HSB141.STC	HSB141.STC	1
HSB141.STR	HSB141.STR	1
HSB141.V1C	HSB141.V1C	1
HSB141.VFC	HSB141.VFC	1
HSB143.CBC	HSB143.CBC	2
HSB143.DFC	HSB143.DFC	2
HSB143.HIP	HSB143.HIP	2
HSB143.IPC	HSB143.IPC	2
HSB143.ITC	HSB143.ITC	2
HSB143.MD	HSB143.MD	2
HSB143.MFC	HSB143.MFC	2
HSB143.OFC	HSB143.OFC	2
HSB143.S1C	HSB143.S1C	2
HSB143.STC	HSB143.STC	2
HSB143.V1C	HSB143.V1C	2
HSB143.VFC	HSB143.VFC	2
HSB145.A1C	HSB145.A1C	1
HSB145.AMY	HSB145.AMY	1
HSB145.CBC	HSB145.CBC	1
HSB145.DFC	HSB145.DFC	1
HSB145.HIP	HSB145.HIP	1
HSB145.IPC	HSB145.IPC	1
HSB145.ITC	HSB145.ITC	1
HSB145.M1C	HSB145.M1C	1
HSB145.MD	HSB145.MD	1
HSB145.MFC	HSB145.MFC	1
HSB145.OFC	HSB145.OFC	1
HSB145.S1C	HSB145.S1C	1
HSB145.STC	HSB145.STC	1
HSB145.STR	HSB145.STR	1
HSB145.V1C	HSB145.V1C	1
HSB145.VFC	HSB145.VFC	1
HSB148.AMY	HSB148.AMY	1
HSB148.CGE	HSB148.CGE	1
HSB148.DFC	HSB148.DFC	1
HSB148.DTH	HSB148.DTH	1
HSB148.HIP	HSB148.HIP	1
HSB148.LGE	HSB148.LGE	1
HSB148.M1CS1C	HSB148.M1CS1C	1
HSB148.MFC	HSB148.MFC	1
HSB148.MGE	HSB148.MGE	1
HSB148.OC	HSB148.OC	1
HSB148.OFC	HSB148.OFC	1
HSB148.PC	HSB148.PC	1
HSB148.TC	HSB148.TC	1
HSB148.URL	HSB148.URL	1
HSB149.A1C	HSB149.A1C	1
HSB149.AMY	HSB149.AMY	1
HSB149.CBC	HSB149.CBC	1
HSB149.DFC	HSB149.DFC	1
HSB149.HIP	HSB149.HIP	1
HSB149.IPC	HSB149.IPC	1
HSB149.ITC	HSB149.ITC	1
HSB149.M1C	HSB149.M1C	1
HSB149.MD	HSB149.MD	1
HSB149.MFC	HSB149.MFC	1
HSB149.OFC	HSB149.OFC	1
HSB149.S1C	HSB149.S1C	1
HSB149.STC	HSB149.STC	1
HSB149.STR	HSB149.STR	1
HSB149.V1C	HSB149.V1C	1
HSB149.VFC	HSB149.VFC	1
HSB150.A1C	HSB150.A1C	1
HSB150.AMY	HSB150.AMY	1
HSB150.CBC	HSB150.CBC	1
HSB150.DFC	HSB150.DFC	1
HSB150.HIP	HSB150.HIP	1
HSB150.IPC	HSB150.IPC	1
HSB150.ITC	HSB150.ITC	1
HSB150.M1C	HSB150.M1C	1
HSB150.MD	HSB150.MD	1
HSB150.OFC	HSB150.OFC	1
HSB150.S1C	HSB150.S1C	1
HSB150.STC	HSB150.STC	1
HSB150.STR	HSB150.STR	1
HSB150.V1C	HSB150.V1C	1
HSB150.VFC	HSB150.VFC	1
HSB153.A1C	HSB153.A1C	1
HSB153.AMY	HSB153.AMY	1
HSB153.DFC	HSB153.DFC	1
HSB153.HIP	HSB153.HIP	1
HSB153.IPC	HSB153.IPC	1
HSB153.ITC	HSB153.ITC	1
HSB153.M1C	HSB153.M1C	1
HSB153.MD	HSB153.MD	1
HSB153.MFC	HSB153.MFC	1
HSB153.OFC	HSB153.OFC	1
HSB153.S1C	HSB153.S1C	1
HSB153.STC	HSB153.STC	1
HSB153.STR	HSB153.STR	1
HSB153.V1C	HSB153.V1C	1
HSB153.VFC	HSB153.VFC	1
HSB154.A1C	HSB154.A1C	2
HSB154.AMY	HSB154.AMY	2
HSB154.DFC	HSB154.DFC	2
HSB154.HIP	HSB154.HIP	2
HSB154.IPC	HSB154.IPC	2
HSB154.ITC	HSB154.ITC	2
HSB154.MD	HSB154.MD	2
HSB154.MFC	HSB154.MFC	2
HSB154.MSC	HSB154.MSC	2
HSB154.STC	HSB154.STC	2
HSB154.STR	HSB154.STR	2
HSB154.V1C	HSB154.V1C	2
HSB154.VFC	HSB154.VFC	2
HSB155.CBC	HSB155.CBC	1
HSB155.VFC	HSB155.VFC	1
HSB159.A1C	HSB159.A1C	1
HSB159.AMY	HSB159.AMY	1
HSB159.CBC	HSB159.CBC	1
HSB159.DFC	HSB159.DFC	1
HSB159.HIP	HSB159.HIP	1
HSB159.IPC	HSB159.IPC	1
HSB159.ITC	HSB159.ITC	1
HSB159.M1C	HSB159.M1C	1
HSB159.MD	HSB159.MD	1
HSB159.MFC	HSB159.MFC	1
HSB159.OFC	HSB159.OFC	1
HSB159.S1C	HSB159.S1C	1
HSB159.STC	HSB159.STC	1
HSB159.STR	HSB159.STR	1
HSB159.V1C	HSB159.V1C	1
HSB159.VFC	HSB159.VFC	1
HSB168.CBC	HSB168.CBC	2
HSB168.DFC	HSB168.DFC	2
HSB168.STC	HSB168.STC	2
HSB168.V1C	HSB168.V1C	2
HSB169.A1C	HSB169.A1C	2
HSB169.STC	HSB169.STC	2
HSB171.CBC	HSB171.CBC	2
HSB171.DFC	HSB171.DFC	2
HSB171.IPC	HSB171.IPC	2
HSB171.ITC	HSB171.ITC	2
HSB171.MD	HSB171.MD	2
HSB171.MFC	HSB171.MFC	2
HSB171.OFC	HSB171.OFC	2
HSB171.S1C	HSB171.S1C	2
HSB171.STC	HSB171.STC	2
HSB171.V1C	HSB171.V1C	2
HSB172.A1C	HSB172.A1C	2
HSB172.AMY	HSB172.AMY	2
HSB172.CBC	HSB172.CBC	2
HSB172.DFC	HSB172.DFC	2
HSB172.HIP	HSB172.HIP	2
HSB172.IPC	HSB172.IPC	2
HSB172.ITC	HSB172.ITC	2
HSB172.M1C	HSB172.M1C	2
HSB172.MFC	HSB172.MFC	2
HSB172.OFC	HSB172.OFC	2
HSB172.S1C	HSB172.S1C	2
HSB172.STC	HSB172.STC	2
HSB172.V1C	HSB172.V1C	2
HSB172.VFC	HSB172.VFC	2
HSB173.A1C	HSB173.A1C	1
HSB173.CBC	HSB173.CBC	1
HSB173.IPC	HSB173.IPC	1
HSB173.ITC	HSB173.ITC	1
HSB173.M1C	HSB173.M1C	1
HSB173.MD	HSB173.MD	1
HSB173.STC	HSB173.STC	1
HSB173.STR	HSB173.STR	1
HSB173.V1C	HSB173.V1C	1
HSB173.VFC	HSB173.VFC	1
HSB174.A1C	HSB174.A1C	2
HSB174.AMY	HSB174.AMY	2
HSB174.CBC	HSB174.CBC	2
HSB174.DFC	HSB174.DFC	2
HSB174.HIP	HSB174.HIP	2
HSB174.IPC	HSB174.IPC	2
HSB174.ITC	HSB174.ITC	2
HSB174.MFC	HSB174.MFC	2
HSB174.STC	HSB174.STC	2
HSB174.V1C	HSB174.V1C	2
HSB174.VFC	HSB174.VFC	2
HSB175.A1C	HSB175.A1C	1
HSB175.AMY	HSB175.AMY	1
HSB175.CBC	HSB175.CBC	1
